Managing DP,DP Project No,Project Title
Swiss Development Corporation (SDC),7F-08144.01.01,Skills for Unemployed and Underemployed Labour (SkillFul)
UN Women (UN Women),ATLAS Project No. 80556,Reducing  Vulnerability of Women Affected by Climate Change through Viable Livelihood Options
International Labour Organization  (ILO),BGD/06/01/EEC,Technical and Vocational Education and Training (TVET) Reform in Bangladesh
Japan International Cooperation Agency (JICA),,Maternal; Neonatal and Child Health Improvement Project (Phase 1)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Public Administration)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Transport)
Japan International Cooperation Agency (JICA),,Technical Cooperation ( Water Supply)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Communication Technology)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Agriculture)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Industries)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Power)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Education)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Culture)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Health)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Social Welfare)
Japan International Cooperation Agency (JICA),,Technical Cooperation (Others)
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2001.3501.2,Study and Expert Fund
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2008.2072.0,Wetland Biodiversity Protection Project
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2009.2205.4,Promotion of Social and Environmental Standards in the Industry
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2009.2240.1,Management of Natural Resources and Community Forestry
International Labour Organization  (ILO),BGD/12/01M/CAN,Bangladesh Skills for Employment and Productivity (B-SEP)
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2010.2220.1,Sustainable Development and Biodiversity Conservation in Coastal Protection Forests
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2014.4055.1,Urban Management of internal Migration due to Climate Change
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2011.2167.2,Adressing Bangladesh's Demographic Challenges
United Nations Programme on HIV/AIDS (UNAIDS),,United Nations HIV prevention programme
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2013.2258.5,Forest in Bangladesh (Sunderbans II)
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2014.2109.8,Support to Health Sector Programme
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2012.2097.9,Renewable Energy and Energy Efficiency Programme
Food and Agriculture Organization  (FAO),GCP /BGD/058/USA,Strengthening National Forest Inventory and Satellite Land Monitoring System in support of REDD+ in Bangladesh
Food and Agriculture Organization  (FAO),GCP /BGD/059/USA,Meeting the Undernutrition Challenge (MUCH): Strengthening the enabling environment for food security and nutrition
International Organization for Migration (IOM),,Impro Cap/Cord-Human Inertv-UMN/Host;CXB
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2012.2098.7-001,Improvement of the real Situation of overcrowding in Prision (IRSOP)
International Organization for Migration (IOM),PR.0143,RESEARCH-IRREGUL MIGRAT&PPL SMUGL FROMBD
International Organization for Migration (IOM),PR.0144,Assess Climate Change & Mig nexus in SA
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2012.2098.7-003,Justice Reform and Corruption Prevention (JRCP)
International Organization for Migration (IOM),DP.1143,Improving the Water Sanitation and Hygiene (WASH) services for UMN population living inTeknaf Upazila.
Deutsche Gesellschaft für  Internationale Zusammenarbeit (GIZ) GmbH (GIZ),2012.2269.4,Good Governance in Urban Areas
International Organization for Migration (IOM),DP.1318,IMPROVING ACCESS TO HEALTH; WATER SANITATION AND HYGINE FOR THE UNDOCUMENTED MYANMAR NATIONALS LIVING IN COX'S BAZAR DISTRICT; BANGLADESH
International Organization for Migration (IOM),DP.1338,Improved Water and Sanitation for Leda and Shamlapur Makeshift Settlements
International Organization for Migration (IOM),LM.0269,ENHANCING IKEA CAPACITY TO PROTECT MIGRANT WORKERS THROUGH THEIR SUPPLIERS’ COMPLIANCE WITH ETHICAL RECRUITMENT STANDARDS
International Organization for Migration (IOM),MA.0325,Strengthening the integration of quality and comprehensive health services into government health care system for survivors of human trafficking and abuse in 6 upazilas of Jessore and Satkhira districts in Bangladesh
International Organization for Migration (IOM),MA.0344,Promoting comprehensive Sexual and Reproductive Health Rights for internal migrants and internally displaced populations living in 756 urban slums in Sylhet City of Bangladesh
International Organization for Migration (IOM),MP.0260,Improved Water and Sanitation for Leda and Shamlapur Makeshift Settlements-HEALTH
International Organization for Migration (IOM),PO.0064,Regional Consultation on Climate Change; Disasters and Human Mobility in South Asia
Kreditanstalt Fuer Wiederaufbau  (KfW),200766618,Good Local Governance (UGIIP ll)
International Organization for Migration (IOM),RA.0081,HUMANITARIAN ASSISTANCE TO BANGLADESHI MIGRANTS STRANDED IN THE ANDAMAN SEA
International Organization for Migration (IOM),MP.0242,HUMANITARIAN ASSISTANCE TO BANGLADESHI MIGRANTS STRANDED IN THE ANDAMAN SEA
Kreditanstalt Fuer Wiederaufbau  (KfW),200565598,Rural Mark. Dhaka; Rajshahi; Chittagong
International Organization for Migration (IOM),SM.0011,HUMANITARIAN ASSISTANCE TO BANGLADESHI MIGRANTS STRANDED IN THE ANDAMAN SEA
International Organization for Migration (IOM),SM.0012,ASSISTANCE TO STRANDED MIGRANTS  IN THE ANDAMAN SEA AND BAY OF BENGAL
Kreditanstalt Fuer Wiederaufbau  (KfW),201065374,Rural Infrastructure Improvement Project (RIIP III)
Kreditanstalt Fuer Wiederaufbau  (KfW),201070200,Rural Infrastructure Improvement Project (RIIP III) (BM)
Kreditanstalt Fuer Wiederaufbau  (KfW),201197680,Climate Change Adaptation through Flood Protection
Kreditanstalt Fuer Wiederaufbau  (KfW),201067172,Climate change adapted urban development in Khulna
Kreditanstalt Fuer Wiederaufbau  (KfW),200665612,National Domestic Biogas & Manure Program
Kreditanstalt Fuer Wiederaufbau  (KfW),201266436,Improving power transmission in the West Zone of Bangladesh
Kreditanstalt Fuer Wiederaufbau  (KfW),201266436,Energy Efficiency Programme II
Kreditanstalt Fuer Wiederaufbau  (KfW),200766626,Energy Efficiency Programme III
Kreditanstalt Fuer Wiederaufbau  (KfW),200266809,Solar Home Systems
Kreditanstalt Fuer Wiederaufbau  (KfW),201266428,Productive Use of Renewable Energy
Kreditanstalt Fuer Wiederaufbau  (KfW),200366237,Health; Nutrion and Population Sector Programme (HNPSP)
Kreditanstalt Fuer Wiederaufbau  (KfW),201468784,Health Population and Nutrition Sector Development Program  (HPNSDP) 2011-2016
Kreditanstalt Fuer Wiederaufbau  (KfW),201070523,HPNSDP Accompanying Measure
International Organization for Migration (IOM),CT.0899,For men and women who have escaped Trafficking
UN Women (UN Women),ATLAS Project No 93174,Building Capacity to Prevent Violence Against Women; Bangladesh 2014-2015
UN Women (UN Women),ATLAS Project No 88193,Strenghtening Labour Migration Management Capacity in Bangladesh; Indonesia; Nepal and Philipines for replication in other Colombo Process Member States
UN Women (UN Women),ATLAS Project No. 89234,Promoting Gender equality and Qomen's Empowerment Streghtening Gender Response Budgeting in South Asia
UN Women (UN Women),ATLAS Project No 84464,Promoting Decent Work through Improved Migration Policy and its application in Bangladesh
United Nations International Children's Emergency Fund (UNICEF),N/A,Early Learning for Child Development Project (ELCDP) - 2nd Phase
United Nations International Children's Emergency Fund (UNICEF),N/A,Life Skills Based Education (LSBE)
United Nations International Children's Emergency Fund (UNICEF),N/A,Third Primary Education Development Programme (PEDP 3)
United Nations International Children's Emergency Fund (UNICEF),N/A,Control of Iodine Deficiency Disorder
United Nations International Children's Emergency Fund (UNICEF),N/A,Communication for development (C4D) Programme
United Nations International Children's Emergency Fund (UNICEF),N/A,Communication for Development (C4D) Programme
United Nations International Children's Emergency Fund (UNICEF),N/A,Policy; Advocacy and Legislative Reform
United Nations International Children's Emergency Fund (UNICEF),N/A,Child Sensitive Social Protection in Bangladesh (CSPB)
United Nations International Children's Emergency Fund (UNICEF),N/A,Birth and Death Registration Project
United Nations International Children's Emergency Fund (UNICEF),N/A,Anti Trafficking Mechanism & Monitoring (ATMM) Project
United Nations International Children's Emergency Fund (UNICEF),N/A,Enabling Environment for Child Rights (EECR) Project
United Nations International Children's Emergency Fund (UNICEF),N/A,Integrated Community Development Project (ICDP)
Swiss Development Corporation (SDC),7F-07734.02.01,APARAJITA-Political Empowerment of Women (Phase - II)
Swiss Development Corporation (SDC),7F-07734.02.02,APARAJITA-Political Empowerment of Women (Phase - II)
Swiss Development Corporation (SDC),7F-07734.02.03,APARAJITA-Political Empowerment of Women (Phase - II)
Swiss Development Corporation (SDC),7F-07734.02.04,APARAJITA-Political Empowerment of Women (Phase - II)
United States Agency for International Development (USAID),AID-388-A-14-00003,Bangladesh Counter Trafficking in Persons (BC-TIP)
United States Agency for International Development (USAID),,Women Empowerment Program (component 1)
United States Agency for International Development (USAID),,Women Empowerment Program (component 2)
United States Agency for International Development (USAID),AID-388-A-15-00001,Women Empowerment Activity (WEA)
Swiss Development Corporation (SDC),7F-08973.01.01,Skills and Employment Program In Bangladesh (SEP-B)
Korea International Cooperation Agency (KOICA),KOICA 2015-03,KOICA-UNICEF IMRPOVING EFFECTIVE COVERAGE OF MATERNAL; NEWBORN AND CHILD HEALTH SERVICES TO REDUCE PREVENTABLE CHILD DEATHS
Korea International Cooperation Agency (KOICA),KOICA 2015-04,KOICA-IFRC Community Based Disaster Risk Reduction Project: Enha¬nced Community Resilience to Floods in Bangladesh
Swiss Development Corporation (SDC),7F-08455.01.01,Support to the Project ''Economic Empowerment of the Poorest (EEP)'' in Bangladesh
Swiss Development Corporation (SDC),7F-03284.04.01,Post Literacy and Continuing Education Project (PLCE-II)
Asian Development Bank (ADB),44213-017,Secondary Education Sector Investment Program - TRANCHE 2
Asian Development Bank (ADB),45253-002,THIRD CAPITAL MARKET DEVELOPMENT PROGRAM
